Company Name,Physical Address,Phone,FAX,Web,Business Description,NAICS,Employee(s),Annual Sales,Contact Person,Industry Description,Stock Exchange,Latitude,Longitude
H&RBlock,"155WMillsSt#105Columbus,NC28722-9426",8288942450,,HRBLOCK.COM,TaxReturnPreparation&Filing,541213,4,"$71,000",RonaldMorton,TaxPreparationServices,,35.249346,-82.201436
Dunkin',"917US441#1Franklin,NC28734-",8285242840,,LOCATIONS.DUNKINDONUTS.COM,Doughnuts,722515,13,"$795,000",SaraStephens,SnackandNonalcoholicBeverageBars,,35.164616,-83.397326
SteveOwen&AssocRealtors,"49PisgahHwy#4PisgahForest,NC28768-8818",8288847020,,ALLENTATE.COM,RealEstate,531210,4,"$395,000",,OfficesofRealEstateAgentsandBrokers,,35.273671,-82.705167
PriceConcrete,"1852USHighway74BusinessEllenboro,NC28040-7632",8282895559,,,ConcreteContractors,238110,1,"$93,000",JasonPrice,PouredConcreteFoundationandStructureContractors,,35.338294,-81.782822
DusenburyInsuranceAgency,"951STradeStTryon,NC28782-3743",8288599187,8288599101,AGENCY.NATIONWIDE.COM,Insurance,524210,3,"$306,000",VernonDusenbury,InsuranceAgenciesandBrokerages,,35.198063,-82.230788
RonaldFoxLoggingLLC,"207SharpTopRdBurnsville,NC28714-6851",8280001111,,,LoggingCompanies(mfrs),113310,4,"$563,000",RonaldOFox,Logging,,35.834526,-82.320486
LAKESIDERESTAURANT,"531SmallwoodAveHighlands,NC28741-8464",8285269419,,,Restaurants,722511,9,"$331,000",MartyRosenfield,Full-ServiceRestaurants,,35.050748,-83.194729
Raymond'sHomeImprovements,"209ClearwaterLakeRdRutherfordton,NC28139-",8282890359,,,RoofingContractors,238160,1,"$93,000",RyanJohnson,RoofingContractors,,35.370205,-81.95887
ShelbyChildCare,"124WSumterStShelby,NC28150-4454",7044711144,7044719544,UPTOWNSHELBY.COM,ChildCareService,624410,16,"$283,000",AmandaFlynn,ChildCareServices,,35.293932,-81.541186
CaricoElectricLLC,"850PilgrimBaptistChurchRdWilkesboro,NC28697-8192",3360001111,,,ElectricContractors,238210,2,"$191,000",DannyRCarico,ElectricalContractorsandOtherWiringInstallationContractors,,36.154762,-81.279092
MainStreetCoffee&Yogurt,"26EMainStFranklin,NC28734-3026",8285240244,,MAINSTREETCOFFEEANDYOGURT.COM,CoffeeShops,722515,4,"$148,000",SandyPantaleo,SnackandNonalcoholicBeverageBars,,35.181836,-83.380687
BuildUpMarketing,"719GreenwayRd#306Boone,NC28607-3120",8289491424,,BUILDUPSOFTWARE.IO,MarketingPrograms&Services,541613,24,"$1,973,000",JohnATroutman,MarketingConsultingServices,,36.199015,-81.666839
FrogQuarters,"573EMainStFranklin,NC28734-2649",8283698488,,LITTLETENNESSEE.ORG,CoffeeShops,722515,1,"$37,000",KayCoriell,SnackandNonalcoholicBeverageBars,,35.185517,-83.372185
JJ-SDGPropertiesLLC,"78TimberlaneDrEtowah,NC28729-9731",8280001111,,,RealEstateManagement,531210,2,"$182,000",GeraldGillespie,OfficesofRealEstateAgentsandBrokers,,35.313603,-82.595805
GraggOrthodontics,"303SGreenSt#201Morganton,NC28655-3897",8284388998,,GRAGGORTHO.COM,Dentists,621210,13,"$2,024,000",AudreaBurgin,OfficesofDentists,,35.744574,-81.684444
KellerElectric,"538WParkCirNorthWilkesboro,NC28659-3547",3366679479,,KELLERNC.COM,ElectricContractors,238210,16,"$1,528,000",DaveKeller,ElectricalContractorsandOtherWiringInstallationContractors,,36.153004,-81.16407
Ann'sBeautySupply,"6119SouthBlvdCharlotte,NC28217-4438",7045537049,,,BeautySalons-Equipment&Supplies(whls),423850,2,"$1,642,000",SangAnn,ServiceEstablishmentEquipmentandSuppliesMerchantWholesalers,,35.151656,-80.875428
PCMulch,"5528EHighway150Lincolnton,NC28092-8166",7047457551,,PCMULCH.COM,Mulches,444240,2,"$450,000",JasonMcswain,"Nursery,GardenCenter,andFarmSupplyRetailers",,35.537206,-81.125145
LibertyxBitcoinATM,"3435thePlazaCharlotte,NC28205-1235",8005118940,,COINSOURCE.NET,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.243025,-80.795305
SteveOwen&AssocRealtors,"8EJordanStWBrevard,NC28712-4518",8288776006,,ALLENTATE.COM,RealEstate,531210,2,"$198,000",,OfficesofRealEstateAgentsandBrokers,,35.232597,-82.733702
BetterBuilders,"Weaverville,NC28787-",8287791994,,,HomeBuilders,236115,2,"$586,000",,NewSingle-FamilyHousingConstruction(exceptFor-SaleBuilders),,35.711008,-82.550787
AssociatedHeating&Air,"324ReynoldsAveNorthWilkesboro,NC28659-9028",3366677012,3366670849,ASSOCIATEDHEATANDAIR.COM,AirConditioningContractors&Systems,238220,50,"$4,774,000",DavidBurchette,"Plumbing,Heating,andAir-ConditioningContractors",,36.189346,-81.146065
KappelIDDSJacqueline,"505EParkerRdMorganton,NC28655-5104",6822199706,,,Dentists,621210,,,JacquelineKappelIDDS,OfficesofDentists,,35.729701,-81.652404
InvestorsRealtyGroupInc,"30WestminsterCtHendersonville,NC28739-6200",8280001111,,,RealEstateInvestments,531210,2,"$182,000",JamesHall,OfficesofRealEstateAgentsandBrokers,,35.295591,-82.452091
InsulatingBreakingClampInc,"103ElizabethCtMtHolly,NC28120-9202",7042630422,,,Manufacturers,339999,20,"$3,122,000",DavidShook,AllOtherMiscellaneousManufacturing,,35.317335,-81.081826
GosnellProperties,"465ZirconiaRdZirconia,NC28790-9754",8286977363,,GOSNELL.COM,RealEstate,531210,2,"$182,000",,OfficesofRealEstateAgentsandBrokers,,35.246802,-82.415034
APlusAutoDiagnosis,"520USHighway70SEHickory,NC28602-5124",8283225700,,,AutomobileDiagnosticService,811198,2,"$161,000",,AllOtherAutomotiveRepairandMaintenance,,35.711219,-81.326578
FASTSIGNS,"1409EFranklinBlvdGastonia,NC28054-4059",9802701499,,FASTSIGNS.COM,Signs(mfrs),339950,3,"$381,000",,SignManufacturing,,35.261708,-81.155449
CarolinaDiscountRealty,"39AlFayeFarmWayWeaverville,NC28787-8758",8282423634,,,RealEstate,531210,1,"$126,000",SteveHolland,OfficesofRealEstateAgentsandBrokers,,35.72755,-82.601418
AmericanTire,"3099FingerMillRdLincolnton,NC28092-6118",8284288153,,ATD-US.COM,Tire-Distributors(whls),423130,32,"$32,181,000",OwenSchiano,TireandTubeMerchantWholesalers,,35.541705,-81.222866
GraciousPlatesOnMain,"46EMainStFranklin,NC28734-3026",8283692690,,GRACIOUSPLATESONMAIN.COM,Restaurants,722511,8,"$331,000",CianaMSpeckhart,Full-ServiceRestaurants,,35.181998,-83.38024
JuanitosSeafoodRstrntLLC,"495HighlandsRdFranklin,NC28734-8963",8280001111,,,Full-ServiceRestaurant,722511,5,"$184,000",YolandaMontero,Full-ServiceRestaurants,,35.180667,-83.367361
KingAuction&RealtyCoInc,"3375HendersonvilleRdFletcher,NC28732-",8286846828,8286845217,BIDKINGAUCTIONS.COM,RealEstate,531210,9,"$817,000",JerryEKing,OfficesofRealEstateAgentsandBrokers,,35.439308,-82.472673
LibertyxBitcoinATM,"4200StatesvilleRdCharlotte,NC28269-4244",8005118940,,LIBERTYX.COM,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.276304,-80.834591
"SindenHB,DDS","113FoothillsDr#AMorganton,NC28655-5127",8284331400,8284331400,CARECREDIT.COM,Dentists,621210,1,"$156,000",HBSinden,OfficesofDentists,,35.725792,-81.651336
GoodworkStaffing-Gastonia,"116ArmstrongStGastonia,NC28054-3609",7048301408,,GOODWORKSTAFFING.COM,Manufacturers,339999,16,"$2,654,000",,AllOtherMiscellaneousManufacturing,,35.268326,-81.164522
ColumbusChildren'sCtr,"2060LynnRdColumbus,NC28722-4500",8288590165,,WNCSOURCE.ORG,ChildCareService,624410,8,"$90,000",KellyPittman,ChildCareServices,,35.234652,-82.227889
M3ConsultationsInc,"112WildDaisyLnBeechMountain,NC28604-8241",8280001111,,,Consultants-BusinessNEC,541618,2,"$152,000",,OtherManagementConsultingServices,,36.20397,-81.864149
Orthotic&ProstheticCtrInc,"10420ParkRd#100ACharlotte,NC28210-8478",7040001111,,OPCENTERS.COM,Medical/Dental/HospitalEqpt&Supl(whls),423450,2,"$2,571,000",ChrisLemonis,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.094983,-80.868652
TanExpress,"730WMainStBurnsville,NC28714-2740",8286820268,,TANEXPRESS.COM,TanningSalons,812199,11,"$251,000",DoreenEngland,OtherPersonalCareServices,,35.913158,-82.315243
SouthToeFire&RescueInc,"65RoaringSpoutLnBurnsville,NC28714-7336",8280001111,,SOUTHTOEFIRE.COM,FireDepartments,922160,2,,,FireProtection,,35.851443,-82.200714
3GInvestment&DevmntLLC,"516NNc16BusinessHwyDenver,NC28037-8245",7040001111,,,Investments,523910,2,"$1,043,000",LouisMGais,MiscellaneousIntermediation,,35.456868,-80.99138
GrayMotorsports,"3498DenverDr#BDenver,NC28037-7227",7048091070,,GRAYENGINEDEVELOPMENT.COM,AutomobileMotors(whls),423120,2,"$1,986,000",AngelaJohnson,MotorVehicleSuppliesandNewPartsMerchantWholesalers,,35.522188,-81.018027
DavidStaieConcrete,"Ellenboro,NC28040-",8283053726,,,RoofingContractors,238160,2,"$185,000",,RoofingContractors,,35.328735,-81.75782
HireDynamics,"1615EMainStLincolnton,NC28092-3946",9193140192,,,EmploymentAgencies&Opportunities,561311,4,"$159,000",AnsleyIsenhour,EmploymentPlacementAgencies,,35.477676,-81.232736
AppalachianStateUniv,"Philosophy&ReligionBoone,NC28607-",8282626426,,BUSINESSAFFAIRS.APPSTATE.EDU,University-CollegeDept/Facility/Office,611310,4,,KennithChancellor,"Colleges,Universities,andProfessionalSchools",,36.200895,-81.661437
ApexPlumbing,"7905WNcHighway268Boomer,NC28606-9211",3369212100,,,PlumbingContractors,238220,3,"$287,000",ChrisVice,"Plumbing,Heating,andAir-ConditioningContractors",,36.097144,-81.290457
FleetwoodDanielsGroupLLC,"724FergusonCoveLoopClyde,NC28721-8360",8280001111,,FLEETWOODDANIELS.COM,EnvironmentalConsultingServices,541620,3,"$322,000",ClaytonDHinson,EnvironmentalConsultingServices,,35.617209,-82.957697
PaperPapayaCo,"208GlenwaySt#1442Belmont,NC28012-4463",7046745383,,,PaperProducts-Retail(whls),424130,3,"$4,130,000",,IndustrialandPersonalServicePaperMerchantWholesalers,,35.245592,-81.035893
PolkSawmillLLC,"206WillGreenRdTryon,NC28782-8879",8280001111,,,Sawmills&PlaningMills-General(mfrs),321113,12,"$5,212,000",PatrickParton,Sawmills,,35.273517,-82.10369
HallmarkRoofingSheet,"709OaklandRdSpindale,NC28160-2127",8037919895,,HALLMARKROOFINGCO.COM,RoofingContractors,238160,2,"$185,000",,RoofingContractors,,35.338271,-81.919598
HighlandLakePropertiesLLC,"21HalftimberLnFlatRock,NC28731-7613",8286921359,,HIGHLANDLAKE.NET,RealEstate,531210,1,"$91,000",SteveCollins,OfficesofRealEstateAgentsandBrokers,,35.279282,-82.42771
Hardee's,"710EMainStFranklin,NC28734-2674",8283698180,8283698180,HARDEES.COM,Limited-ServiceRestaurant,722513,8,"$295,000",RichardGauthier,Limited-ServiceRestaurants,,35.187707,-83.371549
ProNails,"687WUSHighway19EBypBurnsville,NC28714-7279",8286827904,,,Manicuring,812113,2,"$40,000",,NailSalons,,35.912628,-82.312646
Teague'sGrocery&Caf,"130SocoRdMaggieValley,NC28751-9662",8289261147,,TEAGUES-GROCERY-AND-CAFE.BUSINESS.SITE,Grocers-Retail,445110,11,"$3,687,000",DerekJones,SupermarketsandOtherGroceryRetailers(exceptConvenienceRetailers),,35.521897,-83.030516
AppliedIndustrialTechInc,"10345NationsFordRd#BCharlotte,NC28273-5823",7045045551,7045045558,APPLIED.COM,Bearings(whls),423840,15,"$18,185,000",MichaelAuvil,IndustrialSuppliesMerchantWholesalers,,35.1193,-80.903145
TuesdaySchoolInc,"328MelroseAveTryon,NC28782-",8288590258,,,Schools-Pre-School/Kindergarten-Academic,624410,4,"$45,000",CourtneySmith,ChildCareServices,,35.227711,-82.176892
Manpower,"2725NorthwestBlvd#PNewton,NC28658-3700",8284652050,,,EmploymentContractors-TemporaryHelp,561320,4,"$196,000",AmyPowell,TemporaryHelpServices,,35.693572,-81.227658
ExecutiveInsightInc,"Charlotte,NC28211-",7043586000,,,VocationalRehabilitationServices,624310,4,,,VocationalRehabilitationServices,,35.17291,-80.80204
MurrayBrothersConstruction,"3920WhitesidesRdBostic,NC28018-6734",8284293361,,,Driveways,238110,2,"$185,000",WayneMurray,PouredConcreteFoundationandStructureContractors,,35.425787,-81.852519
PensacolaVolunteerFireDept,"8955StateHighway197SBurnsville,NC28714-6802",8286789416,,,FireDepartments,922160,9,,,FireProtection,,35.851023,-82.30546
BroyhillPark,"1036MainStBlowingRock,NC28605-8333",8282955222,,TOWNOFBLOWINGROCKNC.GOV,Parks,712190,8,"$617,000",,NatureParksandOtherSimilarInstitutions,,36.133636,-81.678201
DeborahMurphyLagos&Assoc,"566RunningDeerTrlWaynesville,NC28786-9782",7270001111,,,Scientists-Consulting,541690,2,"$215,000",DeborahMurphyLagos,OtherScientificandTechnicalConsultingServices,,35.490015,-83.059927
RDRConsultingSvcLLC,"328ShullsMillRdBoone,NC28607-8036",8280001111,,,Consultants-BusinessNEC,541618,2,"$152,000",EmmettKRushin,OtherManagementConsultingServices,,36.173016,-81.743562
FocalPointInteriorsPlusLLC,"16653FlintrockFallsLnCharlotte,NC28278-8104",7042992097,,,InteriorDecoratorsDesign&Consultants,541410,3,"$284,000",DeborahWilson,InteriorDesignServices,,35.072283,-81.043215
BuckeyeConstructionCoInc,"130SteepleViewRdgWaynesville,NC28786-8845",8286484511,,BUCKEYECONSTRUCTION.COM,Utilities,541618,110,"$41,574,000",GaryMease,OtherManagementConsultingServices,,35.469153,-82.90467
FoothillsDrillingEquipment,"111LocustStColumbus,NC28722-9765",8288949602,,FOOTHILLSEQUIPMENT.COM,BuildingMaterialDealers,444180,7,"$5,087,000",MichelleFrankum,OtherBuildingMaterialDealers,,35.253989,-82.193444
KnowledgeIsLife,"285HomespunHillsRdBoone,NC28607-8977",8280001111,,,EducationalService-Business,611710,2,,AlexanderReese,EducationalSupportServices,,36.208985,-81.696667
AirgasStore,"112SweetenCreekRdAsheville,NC28803-1526",8282749002,8282743792,LOCATIONS.AIRGAS.COM,Gas-Indstrl/Med-Cylinder&Bulk(whls),424720,16,"$180,275,000",PaulHuff,PetroleumandPetroleumProductsMerchantWholesalers(exceptBulkStationsandTerminals),,35.563716,-82.53054
JudyGibbsRealEstate,"303SChurchSt#1Hendersonville,NC28792-5249",8286961942,8286962174,JUDYGIBBSREALESTATE.COM,RealEstate,531210,4,"$363,000",JudyGibbs,OfficesofRealEstateAgentsandBrokers,,35.311979,-82.460744
GazeboCreeksideCafe,"44HeritageHollowDrFranklin,NC28734-2761",8285248783,,GAZEBOCREEKSIDECAFE.COM,Restaurants,722511,4,"$148,000",KurtKnechtel,Full-ServiceRestaurants,,35.178868,-83.383053
BennettElectricLLC,"716PadgettRdUnionMills,NC28167-8734",8282861994,,BENNETTELECTRIC.COM,ElectricContractors,238210,1,"$93,000",BrianBennett,ElectricalContractorsandOtherWiringInstallationContractors,,35.480865,-82.047907
Sharon'sSalon,"691WBypBurnsville,NC28714-",8286821288,,,BeautySalons,812112,3,"$59,000",SharonMorrow,BeautySalons,,35.917232,-82.32441
AagPlumbing&Repair,"NorthWilkesboro,NC28659-",3364677081,,,PlumbingContractors,238220,4,"$382,000",,"Plumbing,Heating,andAir-ConditioningContractors",,,
HRPDevelopmentGroupLLC,"196WoodswiseWayMillsRiver,NC28759-0108",8280001111,,,RealEstate,531210,2,"$182,000",MarshallHHagan,OfficesofRealEstateAgentsandBrokers,,35.399336,-82.588328
LimoZenLLC,"6213SNc9HwyTryon,NC28782-6751",8280001111,,,LimousineService,485320,2,"$92,000",KenFeagin,LimousineService,,35.245322,-82.089218
OldMillMarketSquare,"151SouthernMercerizingRdTryon,NC28782-3728",8288595467,,,Grocers-Retail,445110,3,"$576,000",OldSquare,SupermarketsandOtherGroceryRetailers(exceptConvenienceRetailers),,35.199209,-82.229861
AppalachianStateUnivLucy,"663HowardStBoone,NC28607-6245",8282623006,,LUCYBROCK.APPSTATE.EDU,University-CollegeDept/Facility/Office,611310,4,,,"Colleges,Universities,andProfessionalSchools",,36.215935,-81.678046
LiechtiAmerica,"13245ReeseBlvdW#110Huntersville,NC28078-6307",7049481277,,,EngineeringEquipment&Supplies(whls),423490,12,"$12,935,000",RichardJoseph,OtherProfessionalEquipmentandSuppliesMerchantWholesalers,,35.39246,-80.865171
EakersNurseries&TreeFarm,"2760Highway274Cherryville,NC28021-9632",7044350767,,,Nurserymen,444240,3,"$675,000",AlisaEaker,"Nursery,GardenCenter,andFarmSupplyRetailers",,35.442745,-81.425291
Center45,"200Den-MacDrBoone,NC28607-6544",8283861550,,CENTER45.COM,MountainClimbingInstruction,611620,6,"$463,000",,SportsandRecreationInstruction,,36.213888,-81.636692
KayPumphrey,"425EMainStLincolnton,NC28092-3305",7048279113,,FOUNDATION.FIRSTCITIZENS.COM,Investments,523910,3,"$1,564,000",,MiscellaneousIntermediation,,35.473483,-81.251345
485MoversInc,"9571SouthBlvd#BCharlotte,NC28273-7097",7040001111,,,Movers,484110,5,"$666,000",VadimShlangman,"GeneralFreightTrucking,Local",,35.103686,-80.877415
Fressers,"470OakStHighlands,NC28741-",8285264188,8285268847,FRESSERSEATERYHIGHLANDS.COM,Restaurants,722511,3,"$111,000",DebbieGrossman,Full-ServiceRestaurants,,35.077073,-83.189764
DonaldHendershot,"897BalsamRidgeRdWaynesville,NC28786-7826",8280001111,,,EnvironmentalConsultingServices,541620,2,"$215,000",,EnvironmentalConsultingServices,,35.459594,-83.069956
MeckMedicalSupl&HmOxygen,"7401thePlaza#CCharlotte,NC28215-2098",7045260426,7047339771,,Physicians&SurgeonsEquip&Supls-Whls,423450,2,"$2,571,000",HelenCAnanti,"Medical,Dental,andHospitalEquipmentandSuppliesMerchantWholesalers",,35.258486,-80.734238
LasMargaritas,"24IotlaStFranklin,NC28734-2945",8283692021,,,Restaurants,722511,3,"$111,000",,Full-ServiceRestaurants,,35.182307,-83.381653
AdvancedEquipmentCo,"1408CenterParkDrCharlotte,NC28217-2909",7045273141,,AEC-CAROLINAONLINE.COM,MiscellaneousIndustrialSupplies(whls),423840,10,"$12,123,000",JenSchumacher,IndustrialSuppliesMerchantWholesalers,,35.173984,-80.921709
RainbowConnection,"226EGrahamStShelby,NC28150-5432",7044877075,7044878504,SHELBYPRES.ORG,Schools-Pre-School/Kindergarten-Academic,624410,13,"$230,000",BeckyDorsey,ChildCareServices,,35.28895,-81.537629
LibertyxBitcoinATM,"4421CentralAveCharlotte,NC28205-5713",8005118940,,,VirtualCurrencyConversionKiosk/Atm,523160,,,,CommodityContractsIntermediation,,35.214101,-80.769897
Randie'sElectric,"388SleepyAvenueWestRdWilkesboro,NC28697-7479",3366675349,,,ElectricContractors,238210,2,"$191,000",RandieJohnson,ElectricalContractorsandOtherWiringInstallationContractors,,36.126015,-81.147379
AppalachianStateUniv-Reich,"151CollegeStBoone,NC28607-",8282622232,,RCOE.APPSTATE.EDU,University-CollegeDept/Facility/Office,611310,16,,MelbaSpooner,"Colleges,Universities,andProfessionalSchools",,36.200895,-81.661437
LakeToxawayRealtyCo,"16716RosmanHwyLakeToxaway,NC28747-9592",8289664029,,LAKETOXAWAY.COM,RealEstate,531210,3,"$297,000",JohnNichols,OfficesofRealEstateAgentsandBrokers,,35.113476,-82.942774
BetterHealthMediaInc,"146OldEKingSt#BBoone,NC28607-4703",8280001111,,,MediaConsultants,541690,3,"$228,000",TimothyBaxter,OtherScientificandTechnicalConsultingServices,,36.219109,-81.656597
Learning-Focused,"276WataugaVillageDr#HBoone,NC28607-5262",8283555042,,LEARNINGFOCUSED.COM,Schools&EducationalServicesNEC,611710,3,,LaurianPhillips,EducationalSupportServices,,36.196276,-81.658227
HumistonPropertiesLLC,"305CrestviewDrHendersonville,NC28791-8422",8280001111,,,RealEstateManagement,531210,2,"$182,000",DonnaLHumiston,OfficesofRealEstateAgentsandBrokers,,35.368573,-82.521166
ConnectedKids,"600NMorganStShelby,NC28150-4439",7044875792,,CCPARTNERSHIPFORCHILDREN.COM,ChildCareService,624410,5,"$89,000",,ChildCareServices,,35.298354,-81.541356
ShortStopFoodMart,"808NMainStWaynesville,NC28786-3214",8284564899,8284564899,SHORTSTOPFOODMARTS.COM,ConvenienceStores,445131,9,"$3,017,000",CathyQueen,ConvenienceRetailers,,35.497071,-82.979606
DCRSystems,"11158thStreetCtSEHickory,NC28602-3485",8283584802,,MIKEJOHNSONSCOLLISION.COM,AutomobileBody-Repairing&Painting,811121,14,"$1,247,000",RoyHubbard,"AutomotiveBody,Paint,andInteriorRepairandMaintenance",,35.716446,-81.323847
Jaxon'sDowntown,"381DepotStFranklin,NC28734-3060",8283691302,,,Restaurants,722511,10,"$368,000",DarylOberly,Full-ServiceRestaurants,,35.180623,-83.372839
GPPropertyManagementFLP,"171OharaCirHendersonville,NC28739-3717",8286928122,,,Housing-Rental,531210,2,"$182,000",JohnLeatherwood,OfficesofRealEstateAgentsandBrokers,,35.308132,-82.480232
Painters4YouLLC,"1100KiteRdMillersCreek,NC28651-8503",8280001111,,,Painters,238320,2,"$191,000",BobbyJMoxley,PaintingandWallCoveringContractors,,36.17774,-81.248552
Carolyn'sBeautySalon,"9965StateHighway80SBurnsville,NC28714-",8286754791,,,BeautySalons,812112,2,"$40,000",CarolynCarroll,BeautySalons,,35.917232,-82.32441
Buchanan&Young,"713EMainStBurnsville,NC28714-3101",8286822194,8286823377,BUCHANANYOUNG.COM,Automobile/TrucksDealers-Used,441120,18,"$4,373,000",TommyBuchanan,UsedCarDealers,,35.916833,-82.285087
NugentAppraisalLLC,"1659CountryClubDr#103DMaggieValley,NC28751-5526",8280001111,,,Administrative&GeneralManagementConsultin,541611,3,"$397,000",RayNugent,AdministrativeManagementandGeneralManagementConsultingServices,,35.524886,-83.049935
NeuroagileLeadership,"879LostCoveRdClyde,NC28721-8954",8280001111,,USSBCHAMBER.ORG,Administrative&GeneralManagementConsultin,541611,2,"$265,000",AngelaPittman,AdministrativeManagementandGeneralManagementConsultingServices,,35.61238,-82.912876
BryanGrading&Construction,"332MillRaceRdBoone,NC28607-7281",8282650370,,,ServiceBureaus,541690,1,"$118,000",PhillipBryan,OtherScientificandTechnicalConsultingServices,,36.298007,-81.670542
CarolinaMountainSales,"80CharlotteSt#30Asheville,NC28801-2434",8282775551,,CAROLINAMOUNTAINSALES.COM,RealEstate,531210,15,"$1,876,000",KellyMonroe,OfficesofRealEstateAgentsandBrokers,,35.602306,-82.547365
OverflowStudios,"247BooneHeightsDrBoone,NC28607-4927",3366871641,,THEDOWNTIMEAGENDA.COM,ArtCenters,712110,2,,JacobDaniels,Museums,,36.201725,-81.657776
FortuneHouse,"305HighlandsRdFranklin,NC28734-2764",8283493888,,FORTUNEHOUSEFRANKLIN.COM,Restaurants,722511,4,"$148,000",,Full-ServiceRestaurants,,35.183177,-83.368314
ChemTech,"427BrookStBelmont,NC28012-3435",7048299202,7048299203,CHEMTECHSOLUTIONS.COM,CleaningCompounds-Manufacturers,325612,10,"$7,003,000",AnthonyPhillips,PolishandOtherSanitationGoodManufacturing,,35.241078,-81.027059
PtaNorthCarolinaCongress,"100SchoolPlTryon,NC28782-2942",8280001111,,,Associations,813910,2,,,BusinessAssociations,,35.214423,-82.243411
LosVaqueros,"30DillardRdHighlands,NC28741-",8284827040,,,Foods-CarryOut,722513,3,"$111,000",IvanSoto,Limited-ServiceRestaurants,,35.077073,-83.189764
